                                                 Nearest Neighbour Results                                                 
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% | 20.31% (0.94%) * | 18.00% (1.33%) * | 11.12% (0.71%) * |  9.11% (0.37%) * |  7.44% (0.44%) *
audiology       |     74.77% | 60.17% (2.17%) * | 42.00% (2.56%) * | 31.85% (2.13%) * | 29.62% (1.78%) * | 26.47% (1.81%) *
autos           |     67.35% | 64.50% (1.50%) * | 61.40% (2.21%) * | 65.96% (2.02%)   | 52.92% (2.39%) * | 57.37% (0.95%) *
credit-a        |     44.49% | 39.98% (1.05%) * | 41.35% (0.99%) * | 32.04% (1.50%) * | 34.63% (0.79%) * | 34.71% (0.73%) *
hypothyroid     |      7.71% |  8.27% (0.52%) * |  7.33% (0.18%) * |  4.74% (0.14%) * |  5.01% (0.13%) * |  4.79% (0.10%) *
letter          |     96.26% | 16.86% (0.35%) * |  9.61% (0.20%) * |  6.05% (0.08%) * |  4.71% (0.06%) * |  3.93% (0.07%) *
microarray      |     50.20% | 59.47% (2.55%) * | 49.58% (2.36%)   | 42.45% (0.83%) * | 50.71% (0.95%)   | 50.88% (0.60%)  
vote            |     38.63% |  6.45% (1.01%) * | 10.42% (1.16%) * |  8.26% (0.55%) * |  7.12% (0.19%) * |  7.91% (0.39%) *

                                                   Decision Tree Results                                                   
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% |  9.21% (1.76%) * |  3.84% (0.54%) * |  1.58% (0.47%) * |  1.46% (0.23%) * |  0.79% (0.28%) *
audiology       |     74.77% | 62.00% (3.86%) * | 45.57% (5.09%) * | 29.28% (3.50%) * | 22.29% (1.92%) * | 23.09% (1.98%) *
autos           |     67.35% | 66.00% (6.24%)   | 47.37% (4.95%) * | 33.69% (3.64%) * | 28.67% (4.59%) * | 21.24% (2.93%) *
credit-a        |     44.49% | 19.93% (3.30%) * | 12.56% (1.39%) * | 19.87% (1.82%) * | 19.46% (1.25%) * | 19.35% (1.23%) *
hypothyroid     |      7.71% |  3.05% (0.25%) * |  1.56% (0.26%) * |  0.67% (0.05%) * |  0.75% (0.12%) * |  0.65% (0.07%) *
letter          |     96.26% | 28.80% (0.65%) * | 21.45% (0.43%) * | 16.43% (0.19%) * | 13.39% (0.13%) * | 11.75% (0.16%) *
microarray      |     50.20% | 51.50% (3.24%)   | 51.46% (3.07%)   | 51.68% (2.77%)   | 46.66% (1.92%) * | 49.28% (1.42%)  
vote            |     38.63% | 14.25% (2.88%) * |  5.44% (1.68%) * |  6.68% (1.53%) * |  3.13% (0.49%) * |  6.11% (0.68%) *

